part,operator,trial,measurement_mm
1,1,1,10.0808
1,1,2,10.0835
1,1,3,10.0876
1,2,1,10.091
1,2,2,10.0911
1,2,3,10.0838
1,3,1,10.0829
1,3,2,10.0803
1,3,3,10.0812
2,1,1,9.9675
2,1,2,9.9866
2,1,3,9.9776
2,2,1,9.9824
2,2,2,9.9969
2,2,3,9.9844
2,3,1,9.963
2,3,2,9.9693
2,3,3,9.958
3,1,1,10.0079
3,1,2,9.9991
3,1,3,9.9972
3,2,1,10.0161
3,2,2,9.9997
3,2,3,10.0129
3,3,1,9.9843
3,3,2,9.9927
3,3,3,9.9894
4,1,1,10.0291
4,1,2,10.031
4,1,3,10.0184
4,2,1,10.0334
4,2,2,10.0273
4,2,3,10.0318
4,3,1,10.0109
4,3,2,10.0051
4,3,3,10.0046
5,1,1,9.9629
5,1,2,9.974
5,1,3,9.9622
5,2,1,9.9654
5,2,2,9.98
5,2,3,9.97
5,3,1,9.9562
5,3,2,9.9571
5,3,3,9.9548
6,1,1,9.9982
6,1,2,9.9915
6,1,3,10.0031
6,2,1,10.0075
6,2,2,10.0153
6,2,3,10.0059
6,3,1,9.9837
6,3,2,9.9945
6,3,3,10.0053
7,1,1,9.9977
7,1,2,9.9946
7,1,3,9.9928
7,2,1,10.0017
7,2,2,10.0062
7,2,3,10.0009
7,3,1,10.0039
7,3,2,9.9933
7,3,3,9.9956
8,1,1,9.9209
8,1,2,9.9213
8,1,3,9.911
8,2,1,9.9223
8,2,2,9.9247
8,2,3,9.9191
8,3,1,9.8966
8,3,2,9.9112
8,3,3,9.9126
9,1,1,10.0534
9,1,2,10.0453
9,1,3,10.0497
9,2,1,10.0553
9,2,2,10.0571
9,2,3,10.0667
9,3,1,10.0551
9,3,2,10.0499
9,3,3,10.0492
10,1,1,10.0341
10,1,2,10.03
10,1,3,10.0296
10,2,1,10.034
10,2,2,10.0377
10,2,3,10.0516
10,3,1,10.0302
10,3,2,10.023
10,3,3,10.0222
