subgroup,unit,measurement_mm
1,1,10.006
1,2,9.9983
1,3,10.0078
1,4,10.0183
1,5,9.9972
2,1,9.9972
2,2,10.019
2,3,10.0092
2,4,9.9944
2,5,10.0065
3,1,9.9944
3,2,9.9944
3,3,10.0029
3,4,9.977
3,5,9.9793
4,1,9.9933
4,2,9.9878
4,3,10.0038
4,4,9.9891
4,5,9.9831
5,1,10.0176
5,2,9.9973
5,3,10.0008
5,4,9.9829
5,5,9.9935
6,1,10.0013
6,2,9.9862
6,3,10.0045
6,4,9.9928
6,5,9.9965
7,1,9.9928
7,2,10.0222
7,3,9.9998
7,4,9.9873
7,5,10.0099
8,1,9.9853
8,2,10.0025
8,3,9.9765
8,4,9.9841
8,5,10.0024
9,1,10.0089
9,2,10.0021
9,3,9.9986
9,4,9.9964
9,5,9.9823
10,1,9.9914
10,2,9.9945
10,3,10.0127
10,4,10.0041
10,5,9.9788
11,1,10.0039
11,2,9.9954
11,3,9.9919
11,4,10.0073
11,5,10.0124
12,1,10.0112
12,2,9.9899
12,3,9.9963
12,4,10.004
12,5,10.0117
13,1,9.9942
13,2,9.9978
13,3,9.9867
13,4,9.9856
13,5,10.0098
14,1,10.0163
14,2,9.9991
14,3,10.012
14,4,10.0043
14,5,9.9923
15,1,10.0043
15,2,10.0185
15,3,9.9996
15,4,10.0188
15,5,9.9686
16,1,10.0099
16,2,10.001
16,3,9.9964
16,4,10.0011
16,5,9.9761
17,1,9.9974
17,2,10.0043
17,3,10.0177
17,4,9.9938
17,5,9.9903
18,1,9.994
18,2,10.011
18,3,10.0039
18,4,9.9936
18,5,10.0062
19,1,10.0012
19,2,10.0116
19,3,9.9916
19,4,9.9961
19,5,9.9953
20,1,9.9824
20,2,10.0036
20,3,10.0031
20,4,10.0001
20,5,9.9972
21,1,9.983
21,2,9.995
21,3,9.9959
21,4,9.9904
21,5,9.9981
22,1,10.0048
22,2,10.0226
22,3,10.0021
22,4,10.0031
22,5,9.9991
23,1,9.977
23,2,9.9997
23,3,10.0007
23,4,10.0296
23,5,9.9977
24,1,10.0036
24,2,9.9996
24,3,9.986
24,4,10.0137
24,5,10.009
25,1,10.0095
25,2,9.9891
25,3,10.0168
25,4,9.9832
25,5,10.007
26,1,10.0443
26,2,10.0061
26,3,10.0112
26,4,10.0192
26,5,10.012
27,1,9.9994
27,2,10.0188
27,3,10.0053
27,4,10.0237
27,5,10.007
28,1,10.0366
28,2,10.0086
28,3,10.0141
28,4,10.0278
28,5,10.0032
29,1,10.0207
29,2,10.0337
29,3,9.9987
29,4,10.0202
29,5,10.0211
30,1,10.0274
30,2,10.0032
30,3,10.0022
30,4,10.0243
30,5,10.0216
31,1,10.021
31,2,10.0222
31,3,10.0098
31,4,10.0208
31,5,10.0215
32,1,10.0094
32,2,10.0404
32,3,10.0237
32,4,10.0037
32,5,10.0259
33,1,10.0063
33,2,10.0274
33,3,10.0319
33,4,10.0082
33,5,10.0296
34,1,10.023
34,2,10.0279
34,3,10.0408
34,4,10.0151
34,5,10.009
35,1,10.0073
35,2,10.0082
35,3,10.0171
35,4,10.0221
35,5,10.0213
36,1,10.0279
36,2,10.0182
36,3,10.0354
36,4,10.0148
36,5,10.0506
37,1,10.0255
37,2,10.0077
37,3,10.0051
37,4,10.0238
37,5,10.0153
38,1,10.0266
38,2,10.0237
38,3,10.0171
38,4,10.0078
38,5,9.9998
39,1,10.0126
39,2,10.0283
39,3,10.0206
39,4,10.0031
39,5,10.0201
40,1,10.0226
40,2,10.0074
40,3,10.0198
40,4,10.0187
40,5,10.0043
